symbol,ensembl_ID,User_ID,baseMean,CTLIO-TIO_log2FC,CTLIO-TIO_adjPval,Processed data:,search_label,cio1LHL10698_L4,cio2LHL10702_L4,cio3LHL10704_L4,tio1LHL10699_L4,tio2LHL10703_L4,tio3LHL10705_L4,c-io-1-LHL10698_L4,c-io-2-LHL10702_L4,c-io-3-LHL10704_L4,t-io-1-LHL10699_L4,t-io-2-LHL10703_L4,t-io-3-LHL10705_L4
Meg3,ENSMUSG00000021268,ENSMUSG00000021268,1311.565822,0.586501217,0.999848702,,Meg3 | ENSMUSG00000021268,5.748757405,11.72127712,10.35047032,7.468979532,10.52263168,10.55977101,37,2499,6265,123,1467,1494
Cnksr3,ENSMUSG00000015202,ENSMUSG00000015202,647.0136042,1.08279587,0.999848702,,Cnksr3 | ENSMUSG00000015202,2,10.44779672,10.28591472,2,9.226462142,9.352985561,0,1032,5990,0,595,645
Ermn,ENSMUSG00000026830,ENSMUSG00000026830,1716.21922,1.362966645,0.999848702,,Ermn | ENSMUSG00000026830,12.52085987,8.566673501,10.19295341,10.70521452,9.411560978,9.087712883,4366,278,5615,1183,677,536
Reep3,ENSMUSG00000019873,ENSMUSG00000019873,1107.500593,-0.053115994,0.999848702,,Reep3 | ENSMUSG00000019873,10.74403287,7.866760154,10.37166417,9.526505071,10.21679597,10.51973344,1272,170,6358,521,1186,1453
Ctsb,ENSMUSG00000021939,ENSMUSG00000021939,780.5077479,0.382693357,0.999848702,,Ctsb | ENSMUSG00000021939,10.36585172,6.476039785,10.29190424,9.79693757,8.348777822,9.695673765,978,63,6015,629,322,819
Selenop,ENSMUSG00000064373,ENSMUSG00000064373,1220.33237,1.289585575,0.999848702,,Selenop | ENSMUSG00000064373,11.96352975,2,10.24154501,10.04780355,9.86578334,7.190585659,2966,0,5808,749,929,141
Add1,ENSMUSG00000029106,ENSMUSG00000029106,1092.229476,0.506613156,0.999848702,,Add1 | ENSMUSG00000029106,9.868595593,10.65276663,10.35916782,8.362904543,10.07953488,10.35301927,692,1190,6303,231,1078,1294
Birc6,ENSMUSG00000024073,ENSMUSG00000024073,1043.894511,0.229616723,0.999848702,,Birc6 | ENSMUSG00000024073,9.241477797,10.53567243,10.34725271,10.28930127,8.97732981,10.15432283,447,1097,6251,886,500,1127
Ttyh1,ENSMUSG00000030428,ENSMUSG00000030428,1271.831877,1.203147615,0.999848702,,Ttyh1 | ENSMUSG00000030428,11.41999277,10.34825746,10.33175402,2,9.027955896,10.81104475,2034,963,6184,0,518,1779
Cep170,ENSMUSG00000057335,ENSMUSG00000057335,1064.754899,-0.590813831,0.999848702,,Cep170 | ENSMUSG00000057335,8.520398903,9.858621142,10.30546808,11.39652847,9.100712258,9.244525307,270,685,6072,1912,545,598
Kpnb1,ENSMUSG00000001440,ENSMUSG00000001440,1479.032898,-1.191372324,0.999848702,,Kpnb1 | ENSMUSG00000001440,9.921583849,9.009724819,10.26341281,12.19128683,8.280820408,10.22404567,718,379,5897,3319,307,1183
Nudt4,ENSMUSG00000020029,ENSMUSG00000020029,655.0108126,3.709534616,0.602867088,,Nudt4 | ENSMUSG00000020029,10.69453684,9.658757378,10.22586272,2,8.144707817,2,1229,596,5745,0,279,0
Ddx3x,ENSMUSG00000000787,ENSMUSG00000000787,989.6193322,0.599911012,0.999848702,,Ddx3x | ENSMUSG00000000787,10.54409086,9.699134116,10.30499431,9.989057058,10.40092957,2,1107,613,6070,719,1348,0
Trip12,ENSMUSG00000026219,ENSMUSG00000026219,1406.769186,-0.198836366,0.999848702,,Trip12 | ENSMUSG00000026219,9.458375549,10.90407047,10.36872024,11.48705313,8.748242667,10.25530607,520,1417,6345,2036,426,1209
Dennd5a,ENSMUSG00000035901,ENSMUSG00000035901,767.3755529,0.450201858,0.999848702,,Dennd5a | ENSMUSG00000035901,9.837116153,9.024754435,10.27022458,2,9.372915042,10.33399891,677,383,5925,0,659,1277
Gab1,ENSMUSG00000031714,ENSMUSG00000031714,1598.185819,0.91387759,0.999848702,,Gab1 | ENSMUSG00000031714,11.41218086,11.11890083,10.3741505,10.49751677,10.88192889,2,2023,1645,6369,1024,1883,0
Serinc1,ENSMUSG00000019877,ENSMUSG00000019877,1039.111916,0.627459815,0.999848702,,Serinc1 | ENSMUSG00000019877,10.69570741,9.772201737,10.30357206,9.129568193,10.45948176,8.947526958,1230,645,6064,395,1404,486
Ybx1,ENSMUSG00000028639,ENSMUSG00000028639,797.0976484,0.91164925,0.999848702,,Ybx1 | ENSMUSG00000028639,9.627388803,10.12585609,10.26023923,8.440958632,8.909942951,9.720009846,585,825,5884,244,477,833
