"Gene","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46"
"ENSMUSG00000020098","0","0","0","0","0","0","3","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","2","1","0","0","0","1","0","0","0","0","0"
"ENSMUSG00000020099","0","0","0","0","3","0","24","1","0","1","1","1","2","1","0","1","0","1","0","0","0","1","0","0","1","0","5","5","1","1","7","1","1","2","1","2","0","0","2","0","0","0","0","2","1","1","0","25","0","0","1","0","0"
"ENSMUSG00000020100","0","0","0","5","0","0","6","0","6","1","3","0","1","2","3","0","1","1","1","1","0","0","0","0","0","0","0","0","3","4","5","0","0","2","4","5","1","4","2","1","1","1","1","2","3","0","2","2","0","1","0","0","1"
"ENSMUSG00000020101","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020102","0","0","0","0","0","0","3","0","0","1","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","4","0","0","0","0","0"
"ENSMUSG00000020105","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ENSMUSG00000020107","0","5","1","24","0","1","26","8","9","7","7","0","6","2","1","21","2","6","6","0","2","0","2","0","2","2","2","2","13","12","21","0","0","6","4","11","13","14","16","1","8","0","1","9","15","3","21","34","2","2","0","0","0"
"ENSMUSG00000020108","1","1","0","22","0","0","29","3","14","10","7","0","4","0","1","14","1","5","8","5","2","2","1","0","1","4","5","2","6","8","22","2","0","8","4","2","14","7","11","0","2","0","9","22","10","14","14","20","4","0","2","0","0"
"ENSMUSG00000020109","0","8","1","31","2","1","27","2","17","3","7","0","7","2","1","12","3","5","8","1","0","4","1","2","2","1","1","5","10","10","24","0","0","11","7","8","8","14","7","0","5","1","4","7","15","9","20","29","0","1","0","2","1"
"ENSMUSG00000020111","0","5","0","6","0","1","31","1","5","5","4","0","7","0","0","1","0","3","4","2","1","1","1","0","0","2","9","1","5","2","20","0","2","5","1","3","4","5","8","0","3","1","1","2","14","2","11","27","1","0","1","0","2"
"ENSMUSG00000020114","0","10","0","43","0","0","24","8","25","11","14","1","4","3","3","22","0","8","12","6","0","5","1","0","0","3","4","2","13","14","9","0","1","8","11","15","10","9","12","0","7","6","7","13","25","6","22","30","2","2","4","0","4"
"ENSMUSG00000020115","1","4","0","10","1","1","15","3","9","3","3","0","6","1","0","4","0","2","3","1","3","0","2","1","0","1","0","1","1","4","5","1","0","3","2","7","2","7","6","2","0","0","2","5","7","2","6","15","0","0","1","0","1"
"ENSMUSG00000020116","0","2","1","9","1","0","5","4","6","4","3","1","12","3","1","14","1","4","6","1","0","0","0","0","1","2","1","1","8","5","10","2","0","4","6","8","11","2","8","0","4","0","3","5","13","4","8","19","1","0","2","2","1"
"ENSMUSG00000020120","0","1","0","3","2","0","2","2","2","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","2","1","2","0","0","0","0","0","1","4","2","3","6","0","1","0","1","1"
"ENSMUSG00000020121","1","8","0","39","4","6","11","7","27","8","15","1","25","0","1","26","2","13","16","1","4","6","1","0","2","3","1","4","20","11","28","0","0","15","12","24","35","19","33","12","5","1","9","28","35","14","31","22","4","0","7","2","1"
"ENSMUSG00000020122","0","0","0","0","0","0","5","4","0","1","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","1","0","3","0","0","0","0","2","1","0","1","0","2","0","0","0","2","1","0","0","0","0","6","0","0","0","0","0"
"ENSMUSG00000020123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020124","0","12","3","32","11","7","21","13","23","8","12","0","14","2","1","15","1","13","18","1","9","4","0","2","3","6","6","1","15","17","24","1","0","14","6","12","13","11","17","6","4","1","9","18","24","11","32","39","1","2","3","1","3"
"ENSMUSG00000020125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020128","0","1","0","3","1","0","7","1","2","0","0","0","2","0","2","1","1","1","1","1","0","2","0","0","0","1","1","0","1","1","2","0","0","0","2","0","1","5","3","0","1","0","2","2","4","1","4","13","2","0","1","1","0"
"ENSMUSG00000020130","0","1","0","8","2","0","12","1","5","3","5","0","4","2","0","4","0","3","2","0","0","3","2","0","0","1","2","2","3","1","7","0","0","1","1","6","4","7","1","0","1","0","1","6","8","0","3","5","0","0","1","1","0"
"ENSMUSG00000020131","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"ENSMUSG00000020132","1","8","2","41","1","1","40","3","15","15","13","1","21","6","2","18","1","12","16","1","1","1","0","2","1","5","5","6","15","18","40","3","1","15","9","14","25","31","30","8","7","3","13","21","25","8","35","41","3","2","2","2","1"
"ENSMUSG00000020134","0","1","0","3","0","0","17","2","1","1","1","0","2","0","0","3","1","2","3","1","0","2","0","0","0","0","2","1","1","0","7","0","1","1","2","0","3","4","3","0","0","0","4","2","2","0","0","11","1","0","0","0","0"
"ENSMUSG00000020135","0","3","1","17","0","1","51","4","9","4","5","0","3","6","0","3","1","5","7","1","2","3","0","0","4","0","6","4","2","8","17","0","3","3","2","3","9","18","7","2","3","1","7","14","16","5","12","48","1","1","1","2","1"
