"Gene_ID","Symbol","iDEP_baseMean","iDEP_log2FC","iDEP_adjPval","Loupe_Average","Loupe_log2FC","Loupe_Pval","log2FC_diff","abs_log2FC_diff"
"ENSMUSG00000028309","Rnf20","3.281967853","0.030036582","NA","4.102399835101723","0.1045860028978185","0.9266263316443663","-0.07454942089781849","0.07454942089781849"
"ENSMUSG00000028322","Exosc3","0.7512975","0.313555325","NA","1.2558366842148132","0.32100504945648084","0.8282310881540638","-0.007449724456480844","0.007449724456480844"
"ENSMUSG00000028328","Tmod1","0.909722742","-1.584943096","NA","2.7628407052725894","1.3864415843768212","0.12680399765504644","-2.971384680376821","2.971384680376821"
"ENSMUSG00000028329","Xpa","1.254536666","-0.961268007","NA","1.2558366842148132","-0.271336981630273","1","-0.6899310253697271","0.6899310253697271"
"ENSMUSG00000028330","Ncbp1","1.918975358","-0.041437199","NA","2.0093386947437013","-0.1420539646853064","1","0.10061676568530639","0.10061676568530639"
"ENSMUSG00000028334","Nans","2.679341981","-0.403107859","NA","2.930285596501231","-0.3132506233636674","1","-0.08985723563633263","0.08985723563633263"
"ENSMUSG00000028343","Erp44","2.403974349","0.761318749","NA","2.8465631508869103","0.20586933873500013","0.8293424270033111","0.5554494102649998","0.5554494102649998"
"ENSMUSG00000028347","Tmeff1","0.588544434","-0.936013695","NA","1.507004021057776","1.3818470102995708","0.22244185113746356","-2.317860705299571","2.317860705299571"
"ENSMUSG00000028351","Brinp1","4.289955029","0.337095939","NA","6.697795649145671","0.4448181260444808","0.3900731604459462","-0.10772218704448078","0.10772218704448078"
"ENSMUSG00000028354","Fmn2","2.455985629","0.48802773","NA","2.930285596501231","0.14697564968143162","0.9100559560062453","0.3410520803185684","0.3410520803185684"
"ENSMUSG00000028358","Zfp618","0.964957052","0.257944563","NA","0.8372244561432088","-0.3870200777577849","0.9456504900959996","0.6449646407577849","0.6449646407577849"
"ENSMUSG00000028364","Tnc","2.048816058","-1.67485986","NA","2.3442284772009847","0.30653609430456374","0.8389408418864726","-1.9813959543045638","1.9813959543045638"
"ENSMUSG00000028367","Txn1","2.792997154","-0.517014152","NA","2.7628407052725894","-0.6406266588213496","0.5671099382863729","0.12361250682134961","0.12361250682134961"
"ENSMUSG00000028373","Astn2","42.16621982","0.899154634","0.07282398","41.777500361546124","-0.09917259362036912","1","0.9983272276203691","0.9983272276203691"
"ENSMUSG00000028381","Ugcg","4.943898505","0.48904307","NA","6.362905866688387","0.010246560992708709","1","0.4787965090072913","0.4787965090072913"
"ENSMUSG00000028382","Ptbp3","0.978910857","2.206927845","NA","1.0046693473718507","0.7218844857386648","0.7037882782658049","1.4850433592613352","1.4850433592613352"
"ENSMUSG00000028383","Hsdl2","4.248672201","-0.144984315","NA","4.939624291244932","-0.22951680593564605","0.9908333565967383","0.08453249093564605","0.08453249093564605"
"ENSMUSG00000028385","Snx30","1.141530589","-0.637907751","NA","2.260506031586664","0.883941243847638","0.27789132402963473","-1.521848994847638","1.521848994847638"
"ENSMUSG00000028393","Alad","1.189738481","0.073458931","NA","1.507004021057776","0.4415532564238388","0.711925027572695","-0.3680943254238388","0.3680943254238388"
"ENSMUSG00000028394","Pole3","0.776296626","-0.313472097","NA","1.4232815754434551","0.42583502267690815","0.7406217518100408","-0.7393071196769081","0.7393071196769081"
"ENSMUSG00000028397","Kdm4c","1.321365761","-0.921161176","NA","1.6744489122864177","0.0632649432921999","1","-0.9844261192921999","0.9844261192921999"
"ENSMUSG00000028398","Dmac1","1.061943695","-0.809288959","NA","1.0046693473718507","-0.4797493754309857","0.8282310881540638","-0.32953958356901425","0.32953958356901425"
"ENSMUSG00000028399","Ptprd","1.12232289","-0.332866391","NA","2.176783585972343","1.1913697690398852","0.22573473965545607","-1.5242361600398853","1.5242361600398853"
"ENSMUSG00000028402","Mpdz","1.648955123","1.13241917","NA","2.4279509228153056","0.4953759559299852","0.5751714291801947","0.6370432140700147","0.6370432140700147"
"ENSMUSG00000028403","Zdhhc21","3.07079759","-0.621116686","NA","2.3442284772009847","-0.7115354786174544","0.5586611349275757","0.09041879261745434","0.09041879261745434"
"ENSMUSG00000028405","Aco1","2.982358225","0.611329967","NA","3.097730487729873","0.12369482584552305","0.9151795450536668","0.4876351411544769","0.4876351411544769"
"ENSMUSG00000028409","Smu1","2.741832473","-0.11595885","NA","3.600065161415798","0.21034744385415216","0.806256007705488","-0.32630629385415216","0.32630629385415216"
"ENSMUSG00000028410","Dnaja1","3.804143996","-0.632422771","NA","3.851232498258761","-0.6680923240085193","0.4280486147074476","0.03566955300851926","0.03566955300851926"
"ENSMUSG00000028411","Aptx","1.272991879","-0.304900735","NA","1.5907264666720968","0.2058693387350003","0.9396138180972281","-0.5107700737350003","0.5107700737350003"
"ENSMUSG00000028412","Slc44a1","1.937977169","-0.078131591","NA","3.600065161415798","0.7693814795847823","0.14391264026794656","-0.8475130705847823","0.8475130705847823"
"ENSMUSG00000028414","Fktn","1.59603066","0.712181438","NA","1.7581713579007385","0.20289163893510465","0.9261464284332179","0.5092897990648954","0.5092897990648954"
"ENSMUSG00000028416","Bag1","4.759737185","-0.594009644","NA","6.948962985988634","-0.14695276409814584","1","-0.44705687990185417","0.44705687990185417"
"ENSMUSG00000028419","Chmp5","4.813935534","-0.742673983","NA","5.525681410545179","-0.3454254492207611","0.8618491878664666","-0.39724853377923885","0.39724853377923885"
"ENSMUSG00000028420","Tmem38b","1.278033478","0.871139335","NA","1.4232815754434551","0.42583502267690815","0.797138801721086","0.4453043123230918","0.4453043123230918"
"ENSMUSG00000028423","Nfx1","1.615867862","0.204502364","NA","2.3442284772009847","0.4069379912624014","0.6357955252010139","-0.20243562726240139","0.20243562726240139"
