FeatureID,FeatureName,dtcl calca8 Average,dtcl calca8 Log2 Fold Change,dtcl calca8 P-Value,dtdt caca Average,dtdt caca Log2 Fold Change,dtdt caca P-Value
ENSMUSG00000024590,Lmnb1,2.7628407052725894,0.7165901860691519,0.3782367664976422,1.6076582279452276,-0.7165901860691519,0.3782367664976422
ENSMUSG00000037656,Slc20a2,5.4419589649308575,0.7153416398718933,0.20862104685499908,3.13802519493155,-0.7153416398718933,0.20862104685499908
ENSMUSG00000036160,Surf6,1.7581713579007385,0.715341639871893,0.4185473920460325,1.0357028968493294,-0.715341639871893,0.4185473920460325
ENSMUSG00000047989,Ino80c,1.7581713579007385,0.715341639871893,0.4185473920460325,1.0357028968493294,-0.715341639871893,0.4185473920460325
ENSMUSG00000031156,Slc35a2,2.5953958140439477,0.7140162424053257,0.26250771361189923,1.5149087147945413,-0.7140162424053257,0.26250771361189923
ENSMUSG00000069135,Fgfr1op,1.6744489122864177,0.713322472235241,0.45247471808843276,0.9893281402739862,-0.713322472235241,0.45247471808843276
ENSMUSG00000005871,Apc,5.107069182473574,0.7126066721506541,0.19322960918535095,2.9525261686301776,-0.7126066721506541,0.19322960918535095
ENSMUSG00000025403,Shmt2,3.2651753789585145,0.7111046469854224,0.29435124948582486,1.9013650195890672,-0.7111046469854224,0.29435124948582486
ENSMUSG00000005501,Usp40,1.5907264666720968,0.7111046469854223,0.5573357922790527,0.942953383698643,-0.7111046469854223,0.5573357922790527
ENSMUSG00000058446,Znrf2,1.5907264666720968,0.7111046469854223,0.4935530596499761,0.942953383698643,-0.7111046469854223,0.4935530596499761
ENSMUSG00000041747,Utp15,1.5907264666720968,0.7111046469854223,0.4935530596499761,0.942953383698643,-0.7111046469854223,0.4935530596499761
ENSMUSG00000029505,Ep400,2.4279509228153056,0.7111046469854222,0.39997204167286216,1.4221592016438551,-0.7111046469854222,0.39997204167286216
ENSMUSG00000014554,Dguok,2.3442284772009847,0.7095007612828326,0.3400180388683455,1.375784445068512,-0.7095007612828326,0.3400180388683455
ENSMUSG00000024515,Smad4,2.3442284772009847,0.7095007612828326,0.32484551785182897,1.375784445068512,-0.7095007612828326,0.32484551785182897
ENSMUSG00000024942,Capn1,1.507004021057776,0.7086573265666795,0.47397851671590596,0.8965786271232999,-0.7086573265666795,0.47397851671590596
ENSMUSG00000006373,Pgrmc1,5.4419589649308575,0.7082868823379427,0.30793572526100965,3.153483447123331,-0.7082868823379427,0.30793572526100965
ENSMUSG00000005442,Cic,4.437289617559007,0.7059429418696439,0.3450020780783488,2.5815281160274326,-0.7059429418696439,0.3450020780783488
ENSMUSG00000021242,Npc2,3.683787607030119,0.7059429418696437,0.39292204194287267,2.1486970546575637,-0.7059429418696437,0.39292204194287267
