Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000036822,Topors,0.16321348284692996,0.27574736668805455,0.09722253736298023,0.13482590967578492,-0.27574736668805455,0.09722253736295289
ENSMUSG00000028407,Smim27,0.025947352844366438,1.5368796866853751,0.0000000000000000000743780956751071,0.008938117069867657,-1.5368796866853751,0.0000000000000000000743780956751071
ENSMUSG00000071014,Ndufb6,0.8017326601521036,-1.2769430200280194,0.000000000000013477628214267587,1.9428254374070302,1.2769430200280194,0.000000000000013477628214267587
ENSMUSG00000046593,Tmem215,0.008542934251214397,-3.038230978844734,0.0000000000000000000000000000000000000000000000000000996188788744099,0.07040163773312946,3.038230978844734,0.0000000000000000000000000000000000000000000000000000996188788744099
ENSMUSG00000028411,Aptx,0.19602414219142458,-0.14489771438734644,0.4223784718067157,0.2167493389442907,0.14489771438734644,0.42237847180650023
ENSMUSG00000028410,Dnaja1,0.7226164012561113,-0.985382353066209,0.000000002052488479317617,1.4306852951115352,0.985382353066209,0.000000002052488479317617
ENSMUSG00000028409,Smu1,0.41759020983902234,-0.09550350799678675,0.6142950694902298,0.44617963148145606,0.09550350799678675,0.6142950694902298
ENSMUSG00000028413,B4galt1,0.14824162858293727,2.1566722480018843,0.00000000000000000000000000000000000000000000019397861121624673,0.03323862285357035,-2.1566722480018843,0.00000000000000000000000000000000000000000000019397861121632114
ENSMUSG00000028415,Spink4,0.00011583639662663588,-1.5328664423362994,0.08379134841323511,0.0004050084297283782,1.5328664423362994,0.08379134841323511
ENSMUSG00000028416,Bag1,0.5149796603028665,-0.6367905096614845,0.00010784851770738732,0.8007435629967687,0.6367905096614845,0.00010784851770738732
ENSMUSG00000028419,Chmp5,0.7282923846908165,-0.003742653840146659,1,0.7301883013765009,0.003742653840146659,1
ENSMUSG00000028423,Nfx1,0.3577607109813649,-0.3512610598717092,0.03675002965268197,0.45640260288011725,0.3512610598717092,0.03675002965268197
ENSMUSG00000028427,Aqp7,0.00005791819831331794,2.6370585591060127,0.1630082564094937,0,-2.6370585591060127,0.1630082564094937
ENSMUSG00000028435,Aqp3,0.0041701102785588915,2.399115134235049,0.00002389817175708321,0.00078208524361342,-2.399115134235049,0.00002389817175708321
ENSMUSG00000028430,Nol6,0.3151618761219196,-1.118211820001013,0.000000000013243808688904439,0.6841849300825258,1.118211820001013,0.000000000013243808688904439
ENSMUSG00000036241,Ube2r2,0.8138086045004304,-0.09321271676694601,0.6215342348571645,0.8681285862188178,0.09321271676694601,0.6215342348571645
ENSMUSG00000028433,Ubap2,0.5137633781382868,0.18505309990899632,0.27811402112104494,0.4519195785372617,-0.18505309990899632,0.27811402112104494
ENSMUSG00000028436,Dcaf12,0.352490154934853,0.13646968305058205,0.4325453032756171,0.32068288149734553,-0.13646968305058205,0.4325453032756171
ENSMUSG00000028437,Ubap1,0.2965990935625012,0.14698122643163747,0.3942762460905146,0.267878161745518,-0.14698122643163747,0.3942762460905146
