gene_id,gene,ctl1,ctl2,ctl3,ctl4,ctl5,ctl6,ctl7
ENSMUSG00000020143,Dock2,0,0,0,0,0,0,0
ENSMUSG00000020149,Rab1a,3,12,6,104,3,0,60
ENSMUSG00000020150,Gamt,0,1,0,2,0,0,3
ENSMUSG00000020151,Ptprr,11,74,9,242,11,5,19
ENSMUSG00000020152,Actr2,0,11,2,40,2,0,30
ENSMUSG00000020153,Ndufs7,5,16,2,53,3,0,42
ENSMUSG00000020154,Ptprb,0,0,0,0,0,0,1
ENSMUSG00000020155,Kcnmb1,0,0,0,0,0,0,0
ENSMUSG00000020156,Pwwp3a,1,1,0,1,1,0,11
ENSMUSG00000020159,Gabrp,0,0,0,0,0,0,0
ENSMUSG00000020160,Meis1,0,0,0,0,0,0,37
ENSMUSG00000020163,Uqcr11,2,14,1,44,2,0,44
ENSMUSG00000020166,Cnot2,1,3,0,24,2,2,23
ENSMUSG00000020167,Tcf3,0,0,0,5,1,0,15
ENSMUSG00000020169,Best3,0,0,0,0,0,0,0
ENSMUSG00000020170,Frs2,0,0,0,5,1,3,11
ENSMUSG00000020171,Yeats4,1,2,0,4,0,0,5
ENSMUSG00000020173,Cobl,0,0,0,0,0,0,1
ENSMUSG00000020175,Rab36,0,1,0,6,0,0,2
ENSMUSG00000020176,Grb10,0,1,0,0,0,0,6
ENSMUSG00000020178,Adora2a,0,0,0,0,0,0,2
ENSMUSG00000020180,Snrpd3,0,8,0,20,0,0,16
ENSMUSG00000020181,Nav3,0,3,0,4,3,2,15
ENSMUSG00000020182,Ddc,0,1,0,0,0,0,0
ENSMUSG00000020183,Cpm,0,0,0,0,0,0,1
ENSMUSG00000020184,Mdm2,0,2,1,24,3,3,22
ENSMUSG00000020185,E2f7,0,0,0,0,0,0,0
ENSMUSG00000020186,Csrp2,0,0,1,0,0,0,1
ENSMUSG00000020189,Osbpl8,1,3,0,12,1,1,29
ENSMUSG00000020190,Mknk2,0,1,0,10,1,1,29
ENSMUSG00000020193,Zpbp,1,0,0,1,0,0,0
ENSMUSG00000020196,Cabin1,0,1,0,5,1,4,21
ENSMUSG00000020198,Ap3d1,4,13,1,46,4,5,60
ENSMUSG00000020205,Phlda1,0,0,0,0,0,1,5
ENSMUSG00000020211,Sf3a2,0,1,1,10,0,2,18
ENSMUSG00000020212,Mdm1,0,0,0,0,1,0,6
ENSMUSG00000020213,Glipr1l1,0,0,0,0,0,0,0
ENSMUSG00000020214,Glipr1l2,0,0,0,0,0,0,0
ENSMUSG00000020216,Jsrp1,0,0,0,0,0,0,0
ENSMUSG00000020218,Wif1,0,0,0,0,0,0,12
ENSMUSG00000020219,Timm13,8,7,3,51,2,0,54
ENSMUSG00000020220,Vps13d,0,3,0,8,1,0,19
ENSMUSG00000020224,Llph,0,0,0,5,0,0,0
ENSMUSG00000020225,Tmbim4,1,6,2,18,3,0,8
ENSMUSG00000020226,Slc5a4b,0,0,0,0,0,0,0
ENSMUSG00000020227,Irak3,0,0,0,0,0,0,0
ENSMUSG00000020228,Helb,0,1,0,5,0,3,0
ENSMUSG00000020229,Slc5a4a,0,0,0,0,0,0,0
ENSMUSG00000020230,Prmt2,0,2,0,4,0,1,14
ENSMUSG00000020231,Dip2a,1,7,1,19,2,3,26
ENSMUSG00000020232,Hmg20b,0,0,3,16,0,2,17
ENSMUSG00000020235,Fzr1,1,3,0,13,3,0,12
ENSMUSG00000020238,Ncln,4,8,1,26,3,3,16
ENSMUSG00000020241,Col6a2,0,0,0,0,0,0,2
ENSMUSG00000020246,Hcfc2,1,1,0,4,0,3,2
ENSMUSG00000020248,Nfyb,2,0,0,2,2,1,14
ENSMUSG00000020250,Txnrd1,1,2,1,9,0,1,6
ENSMUSG00000020251,Glt8d2,0,0,0,0,0,0,0
ENSMUSG00000020253,Ppm1m,0,0,0,1,0,0,3
ENSMUSG00000020256,Aldh1l2,0,0,0,1,0,0,4
ENSMUSG00000020257,Wdr82,1,8,0,37,4,3,53
ENSMUSG00000020258,Glyctk,0,0,0,2,0,0,0
ENSMUSG00000020260,Pofut2,3,4,0,29,2,0,15
ENSMUSG00000020261,Slc36a1,1,14,2,62,5,3,40
ENSMUSG00000020262,Adarb1,0,1,0,28,0,0,26
ENSMUSG00000020263,Appl2,0,0,0,10,2,4,36
ENSMUSG00000020264,Slc36a2,0,0,0,0,0,0,0
ENSMUSG00000020265,Sumo3,1,5,0,42,0,0,35
ENSMUSG00000020267,Hint1,2,6,1,33,0,0,25
ENSMUSG00000020268,Lyrm7,0,0,0,4,0,0,2
ENSMUSG00000020270,Smim23,0,0,0,0,0,0,0
ENSMUSG00000020271,Fbxw11,1,3,1,19,2,1,29
ENSMUSG00000020272,Stk10,0,0,0,0,0,0,7
ENSMUSG00000020273,Papolg,1,0,0,2,1,0,4
ENSMUSG00000020275,Rel,0,0,0,2,1,0,1
ENSMUSG00000020277,Pfkl,1,11,1,34,1,2,17
ENSMUSG00000020279,Il9r,0,0,0,0,0,0,0
ENSMUSG00000020280,Pus10,0,0,0,4,0,1,11
ENSMUSG00000020282,Rhbdf1,0,0,0,0,1,0,9
ENSMUSG00000020283,Pex13,1,4,1,16,3,0,5
ENSMUSG00000020284,Cfap410,1,0,0,7,1,0,9
ENSMUSG00000020287,Mpg,0,2,0,8,2,0,7
ENSMUSG00000020288,Ahsa2,1,4,0,14,3,2,14
ENSMUSG00000020289,Nprl3,0,2,0,4,4,0,11
ENSMUSG00000020290,Xpo1,2,8,2,14,1,4,32
ENSMUSG00000020295,Hbq1a,0,0,0,0,0,0,0
ENSMUSG00000020297,Nsg2,4,17,0,2,6,0,41
ENSMUSG00000020300,Cpeb4,0,7,1,56,10,11,28
ENSMUSG00000020303,Stc2,0,0,1,3,2,0,0
ENSMUSG00000020305,Asb3,1,1,0,5,1,1,6
ENSMUSG00000020307,Cdc34,1,6,0,19,0,1,16
ENSMUSG00000020308,Tpgs1,3,7,1,31,0,1,19
ENSMUSG00000020309,Chac2,1,2,0,4,0,0,4
ENSMUSG00000020310,Madcam1,0,0,0,0,0,0,2
ENSMUSG00000020311,Erlec1,0,8,0,17,2,3,16
ENSMUSG00000020312,Shc2,0,1,0,9,0,2,4
ENSMUSG00000020315,Sptbn1,3,17,6,78,6,3,112
ENSMUSG00000020319,Wdpcp,0,1,0,0,0,0,0
ENSMUSG00000020321,Mdh1,22,102,10,481,6,4,174
ENSMUSG00000020323,Prss57,0,0,0,0,0,0,0
ENSMUSG00000020325,Fstl3,0,0,0,0,0,0,0
ENSMUSG00000020326,Ccng1,1,1,1,7,0,1,10
ENSMUSG00000020327,Fgf22,0,0,0,0,0,0,0
ENSMUSG00000020328,Nudcd2,0,0,0,4,0,1,1
ENSMUSG00000020329,Polrmt,0,0,0,1,2,0,5
ENSMUSG00000020330,Hmmr,0,0,0,0,0,0,1
ENSMUSG00000020331,Hcn2,5,10,6,32,1,0,35
ENSMUSG00000020332,Meikin,0,0,0,0,0,0,0
ENSMUSG00000020333,Acsl6,2,17,2,83,7,0,55
ENSMUSG00000020334,Slc22a4,0,0,0,1,1,0,20
ENSMUSG00000020335,Zfp354b,0,0,0,0,1,0,1
ENSMUSG00000020340,Cyfip2,2,8,0,51,3,2,69
ENSMUSG00000020346,Mgat1,1,4,1,13,1,0,14
ENSMUSG00000020349,Ppp2ca,3,20,5,109,3,3,85
ENSMUSG00000020354,Sgcd,0,0,0,0,0,0,5
ENSMUSG00000020357,Flt4,0,0,0,0,0,0,2
ENSMUSG00000020358,Hnrnpab,2,4,0,14,0,0,20
ENSMUSG00000020359,Phykpl,0,0,0,0,0,0,0
ENSMUSG00000020361,Hspa4,2,9,1,21,1,0,9
ENSMUSG00000020362,Cnot6,0,2,0,6,1,1,14
ENSMUSG00000020363,Gfpt2,0,0,0,0,0,0,1
ENSMUSG00000020364,Zfp354a,0,0,0,0,0,0,0
ENSMUSG00000020366,Mapk9,1,7,5,38,3,6,39
ENSMUSG00000020368,Canx,6,16,1,57,3,1,35
ENSMUSG00000020372,Rack1,0,1,0,8,0,0,18
ENSMUSG00000020374,Rasgef1c,0,0,0,0,0,0,4
ENSMUSG00000020375,Rufy1,1,0,0,6,2,0,7
ENSMUSG00000020376,Rnf130,4,5,1,36,6,0,29
