Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000095510,Rhox3f,0.000027745458821060507,0.017385147173403226,1,0,0.38403482719699333,1,0,2.4435945957034644,1
ENSMUSG00000080933,Rhox3g,0.000006936364705265127,-1.3045429477139567,1,0,1.7059629220843533,1,0,3.765522690590826,1
ENSMUSG00000071769,Rhox3h,0.000006936364705265127,-1.3045429477139567,1,0,1.7059629220843533,1,0,3.765522690590826,1
ENSMUSG00000079627,Rhox2h,0.000006936364705265127,-2.889505448435113,0.13572681509782514,0.00008682053755542427,3.2909254228055094,0.10801859331858371,0,2.765522690590826,1
ENSMUSG00000095180,Rhox5,0.00006242728234738614,1.0173851471734032,0.5349790575276571,0,-0.6159651728030067,0.787277035649158,0,1.4435945957034644,1
ENSMUSG00000098348,Btg1-ps2,0.000006936364705265127,-1.3045429477139567,1,0,1.7059629220843533,1,0,3.765522690590826,1
ENSMUSG00000071766,Rhox12,0.000006936364705265127,-2.3045429477139567,0.4273364550561123,0.000043410268777712136,2.7059629220843533,0.3882788664913013,0,3.18056018986967,1
ENSMUSG00000048047,Zbtb33,0.028029849773976375,-0.2764305885207117,0.37276004139503655,0.03377318910906004,0.25683812218535085,0.4361825651483999,0.03449237911416024,0.26541487969933986,0.6902637523026555
ENSMUSG00000036502,Tmem255a,0.02544952210361775,1.0056399395003037,0.0015458362671721194,0.015106773534643823,-0.6967498739516014,0.07389368593349335,0.0034166979311196465,-2.747307539505168,0.002507593662668199
ENSMUSG00000016327,Atp1b4,0.000006936364705265127,-1.3045429477139567,1,0,1.7059629220843533,1,0,3.765522690590826,1
ENSMUSG00000016534,Lamp2,0.14558042243410446,-1.7649802574399063,0.000000000000011383845832679143,0.5112427353951158,1.7001563165427291,0.000000000013935511707212234,0.43310713774478565,1.1444474616060203,0.03133486908596802
ENSMUSG00000031095,Cul4b,0.09649176941494317,0.3594940451699076,0.27255860580660013,0.07648889358632878,-0.31838009146383905,0.4314701971473516,0.07028635744017558,-0.4123398763621262,0.9303931042425116
ENSMUSG00000000355,Mcts1,0.16292827056197257,0.5287156180023818,0.08963971350402175,0.11768523865637759,-0.44408386612524353,0.24211330000911002,0.09501674246542255,-0.7195187498959732,0.6223164827882999
ENSMUSG00000048970,C1galt1c1,0.07117403824072546,-0.17673533063259494,0.586207160784242,0.0812206128830994,0.18588995210722148,0.6289426994593195,0.07744515310537865,0.09671945236765778,0.8819172673521393
ENSMUSG00000095240,Cypt14,0.000006936364705265127,-1.3045429477139567,1,0,1.7059629220843533,1,0,3.765522690590826,1
ENSMUSG00000001986,Gria3,0.2562293122124938,1.3610932285948973,0.000005302063747417637,0.11811934134415471,-1.0638834211537538,0.0019191755289706355,0.030750281380076818,-2.940091509513929,0.0007145024466931204
ENSMUSG00000037475,Thoc2,0.2528651753304402,0.40301777645893444,0.2104850651677722,0.19638805595036968,-0.34539956477853595,0.38599291764173976,0.17181109596487365,-0.5113500119250998,0.680392788748934
ENSMUSG00000025860,Xiap,0.012735165598866772,-0.3131560780186673,0.28356345385203297,0.013153311439646776,-0.008282595581768248,1,0.025706584434138292,1.0150105645866727,0.05816679617660611
